CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
62346-96-7,"2,4-dimethylbenzyl acetate",floral,fruity,fresh,floral,"['floral', 'fruity', 'fresh']"
67634-17-7,"2,4-dimethylcyclohex-3-ene-1-methanol",floral,fresh,green,floral,"['floral', 'fresh', 'green']"
67634-26-8,"2,4-dimethylcyclohex-3-ene-1-methyl acetate",citrus,fruity,grapefruit,citrus,"['citrus', 'fruity', 'grapefruit']"
67634-22-4,"2,4-dimethylcyclohexylmethyl acetate",floral,herbal,woody,floral,"['floral', 'herbal', 'woody']"
108-47-4,"2,4-dimethylpyridine",smoky,phenolic,animal like,smoky,"['smoky', 'phenolic', 'animal like']"
16930-93-1,"2,4-hexadienyl butyrate",green,grape,fruity,green,"['green', 'grape', 'fruity']"
16491-24-0,"2,4-hexadienyl isobutyrate",green,apple,galbanum,green,"['green', 'apple', 'galbanum']"
63450-36-2,"2,4-nonadienol-1",green,violet,cucumber,green,"['green', 'violet', 'cucumber']"
105-67-9,"2,4-xylenol",smoky,roasted,balsamic,smoky,"['smoky', 'roasted', 'balsamic']"
68378-13-2,"2,5 or 6-methoxy-3-methylpyrazine (mixture of isomers)",gourmand,chocolate,roasted,gourmand,"['gourmand', 'chocolate', 'roasted']"
5406-58-6,"2,5,5-trimethyl-2-phenyl-1,3-dioxane",woody,sandalwood,camphoraceous,woody,"['woody', 'sandalwood', 'camphoraceous']"
82784-84-7,"2,5,6-trimethyl-4-heptenal",green,ozonic,melon,green,"['green', 'ozonic', 'melon']"
13851-06-4,"2,5,7-trimethyl-2-decene-6,8-dione",herbal,hay,green,herbal,"['herbal', 'hay', 'green']"
41239-48-9,"2,5-diethyltetrahydrofuran",gourmand,caramel,coffee,gourmand,"['gourmand', 'caramel', 'coffee']"
4077-47-8,"2,5-dimethyl-4-methoxy-3(2h)-furanone",fruity,vegetable,sweet,fruity,"['fruity', 'vegetable', 'sweet']"
123-32-0,"2,5-dimethylpyrazine",food like,nutty,roasted,food like,"['food like', 'nutty', 'roasted']"
847144-75-6,"2,5-octadien-4-one, 5,6,7-trimethyl-, (2e,5e)-",fruity,sweet,apple,fruity,"['fruity', 'sweet', 'apple']"
357650-26-1,"2,5-octadien-4-one, 5,6,7-trimethyl-, (2e,5z)-",fruity,rose,apple,fruity,"['fruity', 'rose', 'apple']"
95-87-4,"2,5-xylenol",smoky,roasted,sweet,smoky,"['smoky', 'roasted', 'sweet']"
141-13-9,"2,6,10-trimethyl-9-undecenal",green,ozonic,aldehydic,green,"['green', 'ozonic', 'aldehydic']"
54082-68-7,"2,6,10-trimethylundeca-5,9-dienal",aldehydic,floral,marine,aldehydic,"['aldehydic', 'floral', 'marine']"
24048-13-3,"2,6,10-trimethylundeca-5,9-dienal (dihydroapofarnesal)",aldehydic,hyacinth,muguet,aldehydic,"['aldehydic', 'hyacinth', 'muguet']"
24048-14-4,"2,6,10-trimethylundeca-5,9-dienol",aldehydic,waxy,floral,aldehydic,"['aldehydic', 'waxy', 'floral']"
432-25-7,"2,6,6-trimethyl-1&2-cyclohexen-1-carboxaldehyde",green,saffron,rose,green,"['green', 'saffron', 'rose']"
472-66-2,"2,6,6-trimethyl-1-cyclohexen-1-acetaldehyde",herbal,camphoraceous,woody,herbal,"['herbal', 'camphoraceous', 'woody']"
473-54-1,"2,6,6-trimethylbicyclo[3.1.1]heptan-3-ol",aromatic,pine,woody,aromatic,"['aromatic', 'pine', 'woody']"
1125-21-9,"2,6,6-trimethylcyclohex-2-ene-1,4-dione",floral,citrus,green,floral,"['floral', 'citrus', 'green']"
116-26-7,"2,6,6-trimethylcyclohexa-1,3-dienyl methanal",herbal,aldehydic,tobacco,herbal,"['herbal', 'aldehydic', 'tobacco like']"
